# Source: Pleiades places CSV snapshot downloaded 2026-07-19; candidates require human-agent review.
tag,historical_capital,roster_source,pleiades_candidates
ALA,North Caucasus,P8.7;CAH-XI,"Caucasus (mountain range) [42.389803561,44.7941380396; related; -550.0,300.0; /places/863766; 0.73]; Hemodos/Imaus/Caucasus (mountains) [30.2477642076,81.172610489; precise; -330.0,2100.0; /places/59834; 0.73]; North Agora [37.7085569802,28.7233927685; precise; ; /places/326045393; 0.64]; North Wraxall [51.4838129,-2.2383387; precise; -30.0,640.0; /places/79619; 0.59]; North Citadel Gate [34.7508348964,40.7309327823; precise; -100.0,199.0; /places/451190270; 0.56]"
KNG,Syr Darya,P8.8;CHG,
WSN,Ili valley,P8.8;CHG,"Holy Valley [34.2581385,35.9841445; precise; 300.0,2100.0; /places/657612457; 0.76]; Valley [47.892828,11.77918; precise; 300.0,640.0; /places/187606; 0.75]; Hathor Temple, Timna Valley [29.7679517,34.9563847; precise; -2000.0,-1000.0; /places/621938445; 0.73]; Slaves' Hill (Timna Valley) [29.7708537452,34.9479748906; precise; -1000.0,2099.0; /places/765348072; 0.73]; Mytikas Valley Dam [38.710936,20.969995; precise; -550.0,-30.0; /places/533787; 0.57]"
XIA,Eastern steppe,P8.8;CAH-XI,"Eastern sanctuary [41.891111,12.721667; precise; -550.0,2099.0; /places/873891351; 0.65]; Kynouria (Eastern Peloponnese) [37.4022448802,22.7160014075; precise; -750.0,640.0; /places/570395; 0.61]; Eastern Outer Wall of Babylon [32.5503793105,44.4387476097; precise; -720.0,2099.0; /places/722340789; 0.47]; Eastern theater at Laodicea ad Lycum [37.837941,29.111143; precise; -550.0,300.0; /places/601030061; 0.44]"
WHU,Liaoxi,P8.8;CAH-XI,
DNG,Upper Yenisei,P8.8;CAH-XI,"Muhattet el-Haj (upper) [31.25,35.75; rough; -30.0,640.0; /places/697713; 0.56]; Upper Agora [37.6773148,30.5176234; precise; -30.0,300.0; /places/290042871; 0.50]; Upper Chambers at Kalhu [36.098075,43.327088; precise; -1000.0,2099.0; /places/303354808; 0.44]; Upper Agora at Akragas/Agrigentum [37.2975038,13.5887603; precise; -750.0,300.0; /places/63728843; 0.40]"
PYU,Beikthano,P8.9;CAH-XI,
MON,Lower Chao Phraya,P8.9;CAH-XI,"Lower Agora [37.2918294,13.5858994; precise; -550.0,300.0; /places/499750546; 0.71]; Lower Lea [52.042777,-1.433485; precise; -30.0,640.0; /places/79580; 0.54]; Lower Main Street [34.748791607,40.7336552909; precise; -100.0,199.0; /places/451190263; 0.53]; Lower city at Hattusa [40.0209834739,34.6154329861; precise; -1750.0,-1200.0; /places/272904994; 0.53]; Lower Church at Banganarti [18.166689,30.7849091; precise; 600.0,1099.0; /places/832870385; 0.51]"
KHM,Mekong basin,P8.9;CAH-XI,
MAL,Malay Peninsula,P8.9;CAH-XI,"Abrau (peninsula) [44.79,37.53; precise; 1700.0,2100.0; /places/835403513; 0.75]; Absheron (peninsula) [40.436498595,50.1830520279; precise; 1700.0,2100.0; /places/281602871; 0.75]; Athos/Akte (peninsula) [40.2565825,24.2450855; related; ; /places/501365; 0.75]; Iberia (modern region/peninsula) [40.0,-5.0; precise; 1700.0,2100.0; /places/540456066; 0.75]; Sithonia (peninsula) [40.1515464561,23.7984714092; precise; 2000.0,2099.0; /places/501618; 0.75]"
JAV,Java,P8.9;CAH-XI,
PHL,Philippines,P8.9;CAH-XI,
BOR,Borneo,P8.9;CAH-XI,
TON,Western Polynesia,P8.9;CAH-XI,"Western necropolis at Egnatia/Gnathia [40.8853293,17.3869067; precise; -330.0,-30.0; /places/742996155; 0.61]; Western gate of Serdica [42.6988668281,23.320210935; precise; -30.0,640.0; /places/583980739; 0.60]; South-Western Baths [40.8068003028,14.345260875; precise; -100.0,99.0; /places/582358863; 0.50]; Western gate and walls of Peltuinum [42.2860166498,13.6200798085; precise; -30.0,300.0; /places/883367434; 0.42]; ""Western Theater"" at Laodicea ad Lycum [37.838704,29.10777; precise; -550.0,300.0; /places/763220261; 0.42]"
CUI,Cuicuilco,P8.10;CAH-XI,
MAY,Tikal,P8.10;CAH-XI,
ZAP,Monte Alban,P8.10;CAH-XI,"Monte Baranta [40.6324147,8.3970716; precise; -3000.0,2099.0; /places/368834138; 0.75]; Monte Vairano [41.5449481,14.5900376; precise; -550.0,-30.0; /places/432965; 0.75]; Monte Barro [45.8320800419,9.36685208576; precise; -30.0,1999.0; /places/383712; 0.73]; Monte Calvo [42.1958570703,12.8187491153; precise; -30.0,2100.0; /places/413207; 0.73]; Monte Adranone (Adranon?) [37.6867097935,13.1410142854; precise; -750.0,2100.0; /places/462073; 0.72]"
EPI,La Mojarra,P8.10;CAH-XI,
WMS,West Mexico,P8.10;CAH-XI,"West Meon [51.0178435593,-1.09840818319; precise; -30.0,1999.0; /places/79754; 0.80]; West Coker [50.922162,-2.672178; precise; -30.0,640.0; /places/70083736; 0.67]; Milecastle 8 (West Denton) [54.986479,-1.700649; precise; -30.0,640.0; /places/967060349; 0.64]; Turret 8A (West Denton) [54.987933,-1.707671; precise; -30.0,640.0; /places/967060375; 0.64]; West Marden [50.916678,-0.901724; precise; -30.0,640.0; /places/79753; 0.64]"
MOC,Moche,P8.10;CAH-XI,
LIM,Lima,P8.10;CAH-XI,
REC,Callejon de Huaylas,P8.10;CAH-XI,
CHI,Altiplano Cundiboyacense,P8.10;CAH-XI,
HOP,Ohio Valley,P8.10;CAH-XI,"Holy Valley [34.2581385,35.9841445; precise; 300.0,2100.0; /places/657612457; 0.73]; Valley [47.892828,11.77918; precise; 300.0,640.0; /places/187606; 0.71]; Hathor Temple, Timna Valley [29.7679517,34.9563847; precise; -2000.0,-1000.0; /places/621938445; 0.70]; Slaves' Hill (Timna Valley) [29.7708537452,34.9479748906; precise; -1000.0,2099.0; /places/765348072; 0.70]; Tower in R. Nestos Valley [41.250488,24.586721; precise; -330.0,300.0; /places/963101026; 0.57]"
BSK,Four Corners,P8.10;CAH-XI,"Dolmen of the four Maols [54.1070063821,-9.16582828046; precise; -2000.0,2099.0; /places/474257195; 0.39]; House of the Four Styles [40.7503551961,14.4904493394; precise; -30.0,2100.0; /places/644629084; 0.39]"
DOR,Arctic,P8.10;CAH-XI,
ARA,Orinoco,P8.10;CAH-XI,
TUP,Amazon basin,P8.10;CAH-XI,
CAR,Lesser Antilles,P8.10;CAH-XI,"Lesser Khabur R. [37.2036588657,42.9211710356; precise; 1700.0,2100.0; /places/874565; 0.53]"
